PLAKA,İL ADI,Ocak,Şubat,Mart,Nisan,Mayıs,Haziran,Temmuz,Ağustos,Eylül,Ekim ,Kasım,Aralık
01,ADANA,138,159,183,216,273,318,324,312,273,225,177,132
02,ADIYAMAN,114,138,174,219,282,351,366,342,291,216,162,114
03,AFYONKARAHİSAR,90,123,156,195,246,300,336,321,264,195,144,84
04,AĞRI,63,93,132,177,231,294,312,303,273,198,129,63
05,AMASYA,63,99,135,177,219,261,285,276,225,144,99,60
06,ANKARA,81,117,156,198,255,306,342,324,276,201,138,78
07,ANTALYA,108.9,120,166.8,178.2,186.9,190.8,198.9,193.8,176.1,151.2,124.2,107.1
08,ARTVİN,69,102,132,159,192,213,204,207,192,141,96,63
09,AYDIN,123,138,177,216,255,303,324,309,270,207,150,123
10,BALIKESİR,87,117,153,195,261,309,342,312,243,180,123,84
11,BİLECİK,96,117,144,189,240,291,315,300,249,171,126,90
12,BİNGÖL,99,129,147,168,213,276,285,270,246,180,132,93
13,BİTLİS,72,99,150,177,222,279,294,291,276,162,87,60
14,BOLU,63,90,126,168,210,249,276,264,210,147,105,63
15,BURDUR,114,147,177,213,267,327,354,330,276,216,165,99
16,BURSA,87,102,126,174,234,297,324,303,237,168,123,87
17,ÇANAKKALE,105,129,162,219,285,333,354,336,267,192,132,96
18,ÇANKIRI,63,102,150,186,234,285,318,297,252,183,114,57
19,ÇORUM,69,105,144,189,225,270,306,300,249,168,111,60
20,DENİZLİ,111,135,168,210,273,330,354,327,279,204,150,105
21,DİYARBAKIR,114,144,168,213,288,366,372,351,300,225,168,117
22,EDİRNE,75,111,141,198,258,297,330,315,243,165,102,72
23,ELAZIĞ,78,108,150,195,261,330,351,330,276,201,135,69
24,ERZİNCAN,90,120,153,180,228,294,327,309,264,192,135,84
25,ERZURUM,96,132,153,189,237,306,336,321,270,204,144,93
26,ESKİŞEHİR,78,114,159,192,255,306,336,321,261,186,129,69
27,GAZİANTEP,111,135,171,216,261,318,324,306,267,213,162,108
28,GİRESUN,39,54,51,72,87,114,102,87,69,48,60,39
29,GÜMÜŞHANE,39,114,150,183,222,270,303,291,237,165,69,27
30,HAKKARİ,123,159,177,201,267,354,366,345,303,219,159,117
31,HATAY,99,135,180,222,273,318,333,312,279,207,147,96
32,ISPARTA,114,141,171,204,249,309,336,321,282,210,159,99
33,MERSİN,144,168,204,228,255,294,300,294,273,228,174,141
34,İSTANBUL,75.9,91.8,135,159.9,177,183.9,186,186.9,147,102,85.2,69.6
35,İZMİR,98.4,105,147.9,171,185.1,185.1,201.9,195.9,171.9,147,114,93.6
36,KARS,96,129,156,180,219,279,312,306,255,192,138,96
37,KASTAMONU,72,111,138,174,219,258,297,288,222,168,114,63
38,KAYSERİ,93,120,144,186,249,312,357,342,273,201,144,90
39,KIRKLARELİ,78,99,138,186,243,261,288,282,210,147,102,69
40,KIRŞEHİR,93,123,153,198,258,318,354,336,279,207,153,93
41,KOCAELİ (İZMİT),57.9,70.2,101.1,134.1,153.9,161.1,171,168.9,132,96,79.5,57.9
42,KONYA,114,128.1,158.1,158.1,159.9,156,171,171,161.1,144,125.1,111.9
43,KÜTAHYA,93.9,111.9,147,159,165,167.1,195.9,179.1,156,126.9,111.9,93.3
44,MALATYA,102,132,168,216,279,348,378,357,303,225,159,93
45,MANİSA,84,114,162,198,255,318,339,321,270,198,126,75
46,KAHRAMANMARAŞ,99,123,165,201,243,300,315,294,261,198,138,99
47,MARDİN,135,153,180,219,291,366,372,345,309,231,177,129
48,MUĞLA,97.5,111.9,158.1,185.1,182.1,182.1,192,186,174,141,107.1,92.1
49,MUŞ,60,90,138,192,261,339,360,345,300,204,117,57
50,NEVŞEHİR,96,123,159,201,252,318,357,342,285,195,141,93
51,NİĞDE,111,147,177,213,258,318,351,342,297,222,162,111
52,ORDU,75,93,102,132,168,213,189,183,156,123,105,75
53,RİZE,69,93,111,138,168,201,162,159,150,126,93,66
54,SAKARYA (ADAPAZARI),75,93,117,159,195,246,267,252,207,138,99,75
55,SAMSUN,81,96,108,141,186,249,264,246,189,138,111,81
56,SİİRT,108,135,165,195,267,348,363,342,297,216,156,108
57,SİNOP,69,90,117,162,204,270,294,267,207,144,102,69
58,SİVAS,75,105,144,189,243,318,360,345,285,195,126,72
59,TEKİRDAĞ,71.1,80.1,122.1,152.1,176.1,174.9,192.9,188.1,144.9,110.1,83.4,64.2
60,TOKAT,81,111,144,189,219,246,261,279,252,177,126,72
61,TRABZON,81,99,102,132,165,213,177,168,147,135,111,81
62,TUNCELİ,102,129,162,198,252,324,345,324,276,198,150,93
63,ŞANLIURFA,123,153,192,234,300,363,369,342,300,237,177,120
64,UŞAK,114,132,162,201,261,324,348,333,282,216,156,108
65,VAN,138,162,180,219,279,351,363,342,294,213,165,126
66,YOZGAT,90,126,159,195,243,297,330,321,267,198,144,90
67,ZONGULDAK,66,84,117,162,207,282,306,285,222,150,102,69
68,AKSARAY,96,135,174,216,273,336,366,351,297,213,153,96
69,BAYBURT,39,114,150,183,222,270,303,291,237,165,69,27
70,KARAMAN,105,141,192,240,297,354,384,363,309,228,165,105
71,KIRIKKALE,81,129,168,213,258,315,348,330,273,198,132,72
72,BATMAN,96,138,168,219,270,345,357,336,294,207,156,90
73,ŞIRNAK,93,138,180,234,261,333,348,345,306,216,153,84
74,BARTIN,66,96,126,174,216,270,294,279,222,153,105,69
75,ARDAHAN,75,102,141,153,189,237,249,240,213,153,111,72
76,IĞDIR,75,123,159,180,222,285,300,288,255,183,129,75
77,YALOVA,51,78,108,141,189,231,246,231,189,126,69,39
78,KARABÜK,48,96,105,219,180,231,279,261,207,144,114,81
79,KİLİS,117,150,192,237,282,339,351,336,300,228,171,117
80,OSMANİYE,117,138,168,204,246,279,276,267,255,204,147,123
81,DÜZCE,54,87,114,159,207,255,270,252,192,129,81,51
